name,std,high,low,聚類结果
1INCHUSDT,0.06224599884693938,0.07159771376406923,0.06707428125177727,0
ADADOWNUSDT,0.0008422566368923133,0.0004770210598770733,0.0003883086593157665,0
ADAUPUSDT,0.22466130171489274,0.13148213218529928,0.10627072944049872,0
ADAUSDT,0.04458303838539628,0.05078351784678732,0.05339321327821391,0
AIONUSDT,0.004214856555788604,0.005018449924193884,0.004594891579672014,0
AKROUSDT,0.000492192982344893,0.0004835133835570449,0.0004013741420453403,0
ALGOUSDT,0.043886678242706915,0.03971749748480597,0.03523973006260414,0
ALPHAUSDT,0.014136148430699609,0.0130408301848632,0.012764587174904564,0
ANKRUSDT,0.0038484365986879215,0.0038982818385152117,0.0035810603717137375,0
ANTUSDT,0.1935563130619836,0.20638610538855304,0.19245266359903368,0
ARDRUSDT,0.009583347634973543,0.011781125590241855,0.011684172256882114,0
ARPAUSDT,0.0029479307668530685,0.003955453047040334,0.0039604618894379,0
ASRUSDT,0.41302756926651973,0.5036763897191904,0.442078761518872,1
ATMUSDT,0.4421360459128378,0.5116222187006481,0.5138132868898974,1
AUDIOUSDT,0.029613497205845045,0.030899565322456562,0.025867758796967538,0
AUDUSDT,0.012781819133212172,0.06719843771823776,0.0799010676622531,0
AVAUSDT,0.06576986179774334,0.08787697314071428,0.0888082092538568,0
BALUSDT,0.8039082030083318,0.781005201242751,0.6314026314560617,1
BANDUSDT,0.13502920991631268,0.14126906788197283,0.13441176916573463,0
BATUSDT,0.03303518459632146,0.035279461297601546,0.03575481159328926,0
BEAMUSDT,0.05768425826936876,0.034543018611515215,0.01982497303453965,0
BELUSDT,0.06073543782847826,0.06936900563512377,0.0671999108934078,0
BLZUSDT,0.008931051939267232,0.009697767991445016,0.009535905385000265,0
BNBDOWNUSDT,0.006504261433034085,0.005018449924193884,0.0044931315699512945,0
BNTUSDT,0.039274132749649894,0.06365188478261151,0.051496205689593094,0
BTCDOWNUSDT,0.0062445529743760915,0.003827835281569849,0.003114723141981257,0
