open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,name
1613606400000,0.009986,0.0107,0.009861,0.010214,319606479.0,1613692799999,3252475.100765,14891,149228171.0,1517167.726959,0,CKBUSDT
1613692800000,0.010225,0.010399,0.009256,0.010053,429501730.0,1613779199999,4150992.558207,18649,192591037.0,1862278.662661,0,CKBUSDT
1613779200000,0.010053,0.010964,0.009719,0.01,395731996.0,1613865599999,4027057.485718,16969,169651127.0,1725081.549246,0,CKBUSDT
1613865600000,0.01,0.0109129999999999,0.01,0.010584,198744784.0,1613951999999,2067585.116779,11363,91009657.0,950587.982667,0,CKBUSDT
1613952000000,0.01062,0.011521,0.008483,0.009883,452760679.0,1614038399999,4627842.128991,17301,218424672.0,2249126.991429,0,CKBUSDT
1614038400000,0.009885,0.010136,0.0077,0.008308,420417003.0,1614124799999,3577735.8981800005,14135,190272232.0,1612591.153752,0,CKBUSDT
1614124800000,0.008325,0.0094,0.008097,0.009092,403220252.0,1614211199999,3591259.311358,15878,241473712.0,2150836.540604,0,CKBUSDT
1614211200000,0.009092,0.018284,0.009036,0.0132129999999999,4455869688.0,1614297599999,61919183.63943,227565,2327539119.0,32323084.856733,0,CKBUSDT
1614297600000,0.013226,0.0164939999999999,0.01125,0.011778,2305969431.0,1614383999999,30630902.849281,105847,1186394111.0,15829010.770698998,0,CKBUSDT
1614384000000,0.011779,0.01247,0.010559,0.01067,753038508.0,1614470399999,8745486.516588,43604,349679381.0,4071432.616034,0,CKBUSDT
1614470400000,0.010671,0.0110569999999999,0.009093,0.0100349999999999,620157650.0,1614556799999,6120877.0921,25506,310114586.0,3063679.012054,0,CKBUSDT
1614556800000,0.0100349999999999,0.011174,0.01001,0.01065,586254862.0,1614643199999,6193135.085259,31703,274236432.0,2897220.685157,0,CKBUSDT
1614643200000,0.010626,0.011346,0.010106,0.010833,681709845.0,1614729599999,7334041.4057,37165,338878501.0,3649489.248705,0,CKBUSDT
1614729600000,0.010876,0.011545,0.010815,0.0114799999999999,510079879.0,1614815999999,5704889.769322,30299,237352015.0,2660255.825341,0,CKBUSDT
1614816000000,0.011448,0.0115909999999999,0.010225,0.010329,544735826.0,1614902399999,5863473.808582,27579,243635478.0,2622280.182691,0,CKBUSDT
1614902400000,0.010336,0.0105,0.009647,0.010245,471108557.0,1614988799999,4739517.074877,21764,211885072.0,2132605.517704,0,CKBUSDT
1614988800000,0.010244,0.0115,0.0100299999999999,0.010667,452797399.0,1615075199999,4832972.853087001,24262,220769030.0,2361360.297239,0,CKBUSDT
1615075200000,0.010666,0.011073,0.010553,0.010773,308344040.0,1615161599999,3342550.134195,18520,138976703.0,1506186.539584,0,CKBUSDT
1615161600000,0.010767,0.0110599999999999,0.0102,0.010551,430938056.0,1615247999999,4552673.379669,23560,190103701.0,2013747.449176,0,CKBUSDT
1615248000000,0.010535,0.0125,0.010457,0.0121129999999999,764855003.0,1615334399999,8849332.591965,41691,386145123.0,4459712.200061,0,CKBUSDT
1615334400000,0.012115,0.014619,0.011053,0.013355,1362886403.0,1615420799999,17858729.731556,78403,701625437.0,9203241.85529,0,CKBUSDT
1615420800000,0.013344,0.016658,0.0124129999999999,0.015765,1931005268.0,1615507199999,28842294.108613,119317,966113496.0,14477983.756502,0,CKBUSDT
1615507200000,0.015708,0.017,0.01356,0.016694,1128945597.0,1615593599999,17121541.205256,75665,566133619.0,8603871.077071,0,CKBUSDT
1615593600000,0.016675,0.017315,0.0154,0.016206,858377503.0,1615679999999,14057407.600691,64863,374509414.0,6133606.666277,0,CKBUSDT
1615680000000,0.016206,0.0171,0.015456,0.015865,554578688.0,1615766399999,9025619.309574,51590,277213458.0,4516068.891643,0,CKBUSDT
1615766400000,0.015865,0.01678,0.013838,0.015865,923984026.0,1615852799999,14280205.451056,63283,467313931.0,7249151.048085,0,CKBUSDT
1615852800000,0.015837,0.01789,0.014083,0.015953,1184197755.0,1615939199999,18951430.996127,76805,617644224.0,9839407.351594,0,CKBUSDT
1615939200000,0.015955,0.017069,0.015227,0.016043,562734137.0,1616025599999,8950918.016705,49531,278352237.0,4432335.857422,0,CKBUSDT
1616025600000,0.016046,0.016913,0.0155,0.015604,418359050.0,1616111999999,6686213.780028,36731,208446078.0,3335676.035969,0,CKBUSDT
1616112000000,0.0156439999999999,0.023333,0.014554,0.02115,1730346325.0,1616198399999,33193516.630291,120383,880293564.0,16865370.367396,0,CKBUSDT
1616198400000,0.021151,0.024,0.019756,0.020897,1510838598.0,1616284799999,32774581.599176,135726,742872180.0,16116387.666042002,0,CKBUSDT
1616284800000,0.020938,0.023612,0.019,0.02129,790899314.0,1616371199999,16535210.877312,70239,386375438.0,8094215.802449001,0,CKBUSDT
1616371200000,0.021289,0.0288439999999999,0.020061,0.023291,1810735321.0,1616457599999,44624535.08781,170481,897986996.0,22178335.221393,0,CKBUSDT
1616457600000,0.023291,0.025619,0.021158,0.021551,793778300.0,1616543999999,18648537.375694,92422,412868263.0,9711782.980574,0,CKBUSDT
1616544000000,0.021504,0.024107,0.02,0.020839,629839769.0,1616630399999,14036930.712424,62123,317758290.0,7091207.316036,0,CKBUSDT
1616630400000,0.020833,0.021342,0.018359,0.020491,572499845.0,1616716799999,11283548.568447,44941,310997977.0,6136956.333239,0,CKBUSDT
1616716800000,0.02047,0.027877,0.0203689999999999,0.0261889999999999,1133680532.0,1616803199999,27748476.443228003,108207,594641382.0,14584216.131587,0,CKBUSDT
1616803200000,0.0261889999999999,0.029345,0.025,0.027808,1030793979.0,1616889599999,28257290.289902,111391,518666082.0,14229570.788709,0,CKBUSDT
1616889600000,0.027781,0.0299,0.025624,0.027043,540621713.0,1616975999999,14997690.143845,62841,263109438.0,7318207.27845,0,CKBUSDT
1616976000000,0.027042,0.03,0.026007,0.0298,434494881.0,1617062399999,12209946.692484,72169,218212797.0,6125989.656608,0,CKBUSDT
1617062400000,0.0298009999999999,0.035,0.028619,0.034999,774570086.0,1617148799999,24465960.377238,98776,386887195.0,12253675.555541,0,CKBUSDT
1617148800000,0.034998,0.0444699999999999,0.033178,0.041963,1972938424.0,1617235199999,76946444.23340699,268548,1026369310.0,40120520.982644,0,CKBUSDT
1617235200000,0.04195,0.042093,0.03512,0.037806,843216002.0,1617321599999,31768076.814286,117069,424627390.0,16016447.567679,0,CKBUSDT
1617321600000,0.037719,0.03823,0.032906,0.0351449999999999,657565027.0,1617407999999,23180721.977579,93593,323297945.0,11414010.805869,0,CKBUSDT
1617408000000,0.035137,0.0367899999999999,0.030175,0.030188,563068844.0,1617494399999,18676322.835793,73266,272308382.0,9048694.711291,0,CKBUSDT
1617494400000,0.03018,0.0388,0.029779,0.036242,698339173.0,1617580799999,24043590.995164003,95452,368585949.0,12695976.806486,0,CKBUSDT
1617580800000,0.036105,0.036255,0.032598,0.034973,676543459.0,1617667199999,23438536.535685,87773,339768684.0,11756726.630113,0,CKBUSDT
1617667200000,0.035049,0.036199,0.030538,0.0325,653984564.0,1617753599999,22011271.958384,76805,337797799.0,11399638.570152,0,CKBUSDT
1617753600000,0.032473,0.033699,0.0263,0.028468,691285525.0,1617839999999,20339382.521615,72488,359004035.0,10563611.862528998,0,CKBUSDT
1617840000000,0.028422,0.0324,0.0281189999999999,0.031074,460770460.0,1617926399999,14192931.839025,53251,216254421.0,6643703.761598,0,CKBUSDT
1617926400000,0.0310779999999999,0.032418,0.02945,0.0303029999999999,509295263.0,1618012799999,15677976.832746,58043,254957404.0,7850763.434991,0,CKBUSDT
1618012800000,0.0303029999999999,0.03193,0.028359,0.029233,479741513.0,1618099199999,14411365.060348,54666,252338251.0,7571306.060244,0,CKBUSDT
1618099200000,0.029258,0.035,0.02845,0.032893,517901641.0,1618185599999,16277452.388766,65960,264282805.0,8325322.384881,0,CKBUSDT
1618185600000,0.032876,0.033116,0.02899,0.029741,428153567.0,1618271999999,13161638.225359,56024,216962987.0,6668613.164874,0,CKBUSDT
1618272000000,0.02974,0.031603,0.028516,0.029185,385528067.0,1618358399999,11410060.277321002,51344,189000268.0,5594886.818818,0,CKBUSDT
1618358400000,0.029186,0.031381,0.028997,0.030111,460466387.0,1618444799999,13801405.302543,57800,233557032.0,7010489.845485001,0,CKBUSDT
1618444800000,0.030014,0.031782,0.0296649999999999,0.030026,416457790.0,1618531199999,12727599.946121,54558,204483322.0,6248782.827459,0,CKBUSDT
1618531200000,0.0300779999999999,0.03025,0.027535,0.027961,553134938.0,1618617599999,16054641.780357998,59796,266421740.0,7743377.94698,0,CKBUSDT
1618617600000,0.027947,0.0336,0.027924,0.029786,662992414.0,1618703999999,20446641.805369,84203,358887213.0,11046207.235652,0,CKBUSDT
1618704000000,0.029786,0.030222,0.0242,0.0277959999999999,463177943.0,1618790399999,12316695.127981,47737,225639487.0,5984286.690252,0,CKBUSDT
1618790400000,0.02788,0.0297389999999999,0.02367,0.024651,528752745.0,1618876799999,14039617.859873,51924,295342205.0,7793832.52592,0,CKBUSDT
1618876800000,0.02465,0.024988,0.020203,0.024932,820625628.0,1618963199999,18516775.425722,66817,460200944.0,10348749.892898,0,CKBUSDT
1618963200000,0.024931,0.02495,0.019925,0.021046,717907767.0,1619049599999,16201835.200984,63157,385131866.0,8743964.624174,0,CKBUSDT
1619049600000,0.0210449999999999,0.0225,0.019592,0.0198,547663683.0,1619135999999,11680000.031392,48418,278286356.0,5942112.852101999,0,CKBUSDT
1619136000000,0.019774,0.027137,0.015142,0.0242,1542708446.0,1619222399999,32800815.821219,121362,784498705.0,16772645.128509,0,CKBUSDT
1619222400000,0.02423,0.024345,0.019966,0.020775,754003449.0,1619308799999,16353539.305212,70169,386530497.0,8383476.189127,0,CKBUSDT
1619308800000,0.020781,0.022207,0.018908,0.020502,339350177.0,1619395199999,7071869.352534,32085,164720915.0,3435067.831701,0,CKBUSDT
1619395200000,0.020527,0.023553,0.020393,0.022348,542066109.0,1619481599999,12078579.42909,52381,298966050.0,6667793.615472,0,CKBUSDT
1619481600000,0.022348,0.02851,0.0221479999999999,0.027442,918829511.0,1619567999999,22964954.287464,93168,484048322.0,12106561.045892,0,CKBUSDT
1619568000000,0.027442,0.0284199999999999,0.023756,0.025019,690174938.0,1619654399999,17858559.381088,75292,360412603.0,9325968.117938,0,CKBUSDT
1619654400000,0.025011,0.025899,0.023186,0.024422,405220152.0,1619740799999,10022823.459035,42367,217046504.0,5377087.197517,0,CKBUSDT
1619740800000,0.024422,0.0263209999999999,0.02332,0.026041,332925735.0,1619827199999,8340790.251145,37202,178999829.0,4488584.076926,0,CKBUSDT
1619827200000,0.026039,0.03,0.025669,0.0291339999999999,623584181.0,1619913599999,17178981.270582,76957,322105948.0,8886864.676806,0,CKBUSDT
1619913600000,0.0291209999999999,0.02953,0.0263209999999999,0.027301,407946136.0,1619999999999,11226210.688121,49098,212010439.0,5835155.434654,0,CKBUSDT
1620000000000,0.027333,0.028998,0.025651,0.025944,427503483.0,1620086399999,11666146.630387,55719,219645216.0,5987721.042863,0,CKBUSDT
1620086400000,0.025965,0.02666,0.023451,0.023575,625688270.0,1620172799999,15664855.633985,66094,315575888.0,7905742.564242,0,CKBUSDT
