name,std,high,vol,聚類结果
1INCHUSDT,0.06468386180740886,0.07159771376406923,0.00018768772737197688,0
1newalldata,0.030929989754113294,0.032168959952421146,0.00013934306358796548,0
ADADOWNUSDT,0.0008752435966379248,0.0004770210598770733,0.014742979770524424,0
ADAUPUSDT,0.2334601558781676,0.13148213218529928,6.609760315190153e-05,0
ADAUSDT,0.046329131948971425,0.05078351784678732,0.005521499937127386,0
AIONUSDT,0.00437993130551373,0.005018449924193884,0.00035645909899403194,0
AKROUSDT,0.0005114697079704569,0.0004835133835570449,0.013138642107199668,0
ALGOUSDT,0.045605498879018345,0.03971749748480597,0.001962704059987968,0
ALPHAUSDT,0.01468979032417524,0.0130408301848632,0.000310461023726362,0
ANKRUSDT,0.003999160520119825,0.0038982818385152117,0.005428586977265629,0
ANTUSDT,0.2011369411363943,0.20638610538855304,6.990585118267636e-05,0
ARDRUSDT,0.009958679201168719,0.011781125590241855,9.602548524511325e-05,0
ARPAUSDT,0.003063386400302075,0.003955453047040334,0.0019840824500884876,0
ASRUSDT,0.4292037835038964,0.5036763897191904,1.2397614471135835e-05,1
ATMUSDT,0.45945229289715844,0.5116222187006481,7.966401929611619e-06,1
AUDIOUSDT,0.030773309070148448,0.030899565322456562,0.0002857188259506278,0
AUDUSDT,0.01328241875422396,0.06719843771823776,0.0005660826430741875,0
AVAUSDT,0.06834573676098685,0.08787697314071428,3.399128608545855e-05,0
BALUSDT,0.8353932473169742,0.781005201242751,9.130361881969522e-06,1
BANDUSDT,0.14031762548573562,0.14126906788197283,5.305195089759456e-05,0
BATUSDT,0.03432900676017937,0.035279461297601546,0.00031196657831092487,0
BEAMUSDT,0.05994346077622939,0.034543018611515215,0.0006202278756017484,0
BELUSDT,0.0631141397051086,0.06936900563512377,0.00012797712118449702,0
BLZUSDT,0.009280836361143198,0.009697767991445016,0.0012985283633374085,0
BNBDOWNUSDT,0.006759000666503445,0.005018449924193884,0.0007238447134065594,0
BNTUSDT,0.04081230315913061,0.06365188478261151,0.00010747688392680104,0
BTCDOWNUSDT,0.006489120732672567,0.003827835281569849,0.0047306184313854515,0
BTCUPUSDT,0.8063797492914527,0.5338123996366703,2.087949211141383e-05,1
BTSUSDT,0.002098028004218373,0.001619185525784903,0.004066180355944729,0
BUSDUSDT,0.00026975150457790397,0.096908086080615,0.020696610444205087,0
CELOUSDT,0.09405706047184764,0.08952427914906529,0.00013005917979912277,0
CELRUSDT,0.00198560537146522,0.0018779094694494406,0.00441110331953251,0
CHRUSDT,0.018858758437753358,0.01863198057791332,0.0008207274366089496,0
CHZUSDT,0.036250213380995,0.02739177252820328,0.013336969732435961,0
CKBUSDT,0.000450936961681412,0.0005629716733716123,0.014948281170677645,0
COCOSUSDT,0.03685421436971713,0.07139422302186116,4.505951220141975e-05,0
COSUSDT,0.000558458300604421,0.0006753760833532189,0.004152274374259021,0
COTIUSDT,0.009711957521404378,0.01156794481269055,0.0012015435442002318,0
CRVUSDT,0.13692008084038546,0.12373010391070638,0.0005447460902693429,0
CTKUSDT,0.0920383583994129,0.10483453499138623,7.19013744990187e-05,0
CTSIUSDT,0.018068936938287823,0.015724969974940987,0.000330255126538029,0
CTXCUSDT,0.00992392930832319,0.014833486723362805,0.0002798218963694748,0
CVCUSDT,0.014329220740648097,0.015124187783660039,0.0003168948627646187,0
DATAUSDT,0.002954379609626851,0.003540719534349615,0.0007188723590914191,0
DENTUSDT,8.3905018955061e-05,9.697787371515703e-05,0.07489520800623317,0
DGBUSDT,0.0010231216108464048,0.0010755745430290767,0.0036364352240564595,0
DIAUSDT,0.026383448794372783,0.046500522225074746,6.999154834684784e-05,0
DNTUSDT,0.0038920643622432425,0.00493027060257039,0.00030558560008068695,0
DOCKUSDT,0.004294297760009318,0.003234514417503196,0.0018670162887768713,0
DOGEUSDT,0.005274610523410581,0.0066076157204854255,0.025922451764848038,0
DOTUPUSDT,0.04184754684773839,0.026984791043787155,0.0002755692901699502,0
DOTUSDT,0.6734460151962581,0.7800361977084268,0.00022756851735909216,1
DREPUSDT,0.055123164480905505,0.07131670273911522,0.0001548969391429377,0
DUSKUSDT,0.013952599039114846,0.014252084602768339,0.0005795545321561516,0
ENJUSDT,0.04810036111272903,0.05496961311506748,0.00043024114325657613,0
EOSUSDT,0.22600983858593768,0.18099821278926137,0.0007403277380806031,0
ETHDOWNUSDT,0.17498941547572633,0.12580377147416,0.00017947261962443373,0
ETHUPUSDT,0.6631767335805937,0.4815831091366006,2.3799445578607872e-05,1
EURUSDT,0.019600952878990826,0.09868136254842812,0.00120724694377239,0
FETUSDT,0.012057672265419482,0.010114439511204384,0.0012465831926231988,0
FILUSDT,0.7554267498015413,0.677321823070071,0.0001636044164481113,1
FIOUSDT,0.004262793830243509,0.005240351733554105,0.0004649079413476465,0
FIROUSDT,0.634083889912947,0.42043898612074926,6.050326922671938e-05,1
FLMUSDT,0.012675347670598624,0.012139656897941779,0.0007771098248792325,0
FTMUSDT,0.025719014341985407,0.027759993871246443,0.0030219245293108617,0
FUNUSDT,0.0002804869736262398,0.0007751834473886024,0.0008638834810539915,0
GBPUSDT,0.0343792070998317,0.11365246715373564,0.00025566231479441973,0
GRTUSDT,0.01345023445342231,0.013021450114176719,0.0020515393100257,0
GTOUSDT,0.0023406493921612607,0.0025300488480495672,0.0029510198886071727,0
HARDUSDT,0.05808733404203073,0.035356981580347474,0.00041771429819048757,0
HBARUSDT,0.00709123384117223,0.007188048837545569,0.00310659969261316,0
HIVEUSDT,0.04204787370823899,0.05986308096340424,5.636873018486559e-05,0
