open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,name
1611273600000,7.565,8.275,7.1,7.702999999999999,39991.715,1611359999999,305718.266677,2745,20725.51,159249.606279,0,SUNUSDT
1611360000000,7.642,7.935,7.403,7.847,43828.452000000005,1611446399999,335267.352807,2216,28488.825,218277.928987,0,SUNUSDT
1611446400000,7.846,8.89,7.706,8.612,153778.696,1611532799999,1271592.397348,8088,81844.55900000001,675663.081915,0,SUNUSDT
1611532800000,8.611,11.7,8.496,9.475,839337.887,1611619199999,8735106.698944,48957,423288.531,4402331.76592,0,SUNUSDT
1611619200000,9.439,11.1,8.9,9.686,204127.252,1611705599999,1989272.716437,12556,100733.12,984630.582994,0,SUNUSDT
1611705600000,9.675,9.723,8.337,8.642000000000001,84099.211,1611791999999,743985.404553,6364,43887.004,387676.106059,0,SUNUSDT
1611792000000,8.697000000000001,10.0,8.475,9.624,91567.943,1611878399999,861567.267621,7515,44469.27,417371.707436,0,SUNUSDT
1611878400000,9.637,11.0,8.774,9.779,215157.77,1611964799999,2072903.609071,12716,114580.364,1102689.448493,0,SUNUSDT
1611964800000,9.778,15.0,9.185,9.849,705543.457,1612051199999,7453718.155632,35878,354834.33700000006,3796551.391909,0,SUNUSDT
1612051200000,9.824,10.99,9.447,9.845,331246.821,1612137599999,3322600.022353,22751,151350.659,1530139.451164,0,SUNUSDT
1612137600000,9.799,10.579,9.1,9.88,202418.126,1612223999999,2007523.198113,11337,87171.156,869654.816478,0,SUNUSDT
1612224000000,9.88,10.8,9.4,9.854,180840.77,1612310399999,1790412.312311,9779,87340.815,871659.3836559999,0,SUNUSDT
1612310400000,9.855,10.7,9.46,10.295,376423.736,1612396799999,3758937.650219,18878,187707.823,1894980.488967,0,SUNUSDT
1612396800000,10.329,12.445,10.295,11.215,1238948.149,1612483199999,13784482.170115,47840,629315.73,7049684.776717,0,SUNUSDT
1612483200000,11.215,12.597,10.8,12.050999999999998,1332685.858,1612569599999,15615312.613645,33257,665066.825,7872914.702497999,0,SUNUSDT
1612569600000,12.034,13.3,11.2,12.813,960828.171,1612655999999,11967520.653993,26265,542076.693,6822118.461409,0,SUNUSDT
1612656000000,12.754,13.98,11.755,12.081,1316662.489,1612742399999,16778711.324968,32641,862271.2309999999,11080431.868648,0,SUNUSDT
1612742400000,12.079,16.789,12.029000000000002,15.018,2412973.047,1612828799999,32029712.026512,56622,1406909.993,18798021.536974,0,SUNUSDT
1612828800000,15.018,17.619,14.334,16.449,1371875.8169999998,1612915199999,21863613.507462,40308,706344.767,11406025.318018,0,SUNUSDT
1612915200000,16.448,16.954,15.444,16.281,176101.71899999998,1613001599999,2872378.499043,14554,80924.335,1322004.577457,0,SUNUSDT
1613001600000,16.3,16.899,15.687,16.737000000000002,114609.788,1613087999999,1856368.922658,11361,54520.593,885687.863884,0,SUNUSDT
1613088000000,16.739,17.6,16.3,16.87,125362.449,1613174399999,2144898.4231060003,11975,65540.518,1121808.075351,0,SUNUSDT
1613174400000,16.967,17.657,16.631,17.237000000000002,124553.109,1613260799999,2139288.056737,14735,55963.087,961390.035199,0,SUNUSDT
1613260800000,17.338,20.672,16.552,17.12,268549.591,1613347199999,4941617.528423,24372,147303.76,2713923.340182,0,SUNUSDT
1613347200000,17.125,17.401,13.164,15.617,154890.081,1613433599999,2388072.591999,13775,88003.884,1356348.990612,0,SUNUSDT
1613433600000,15.613,17.55,15.025,15.835,161814.566,1613519999999,2639729.750736,13493,87483.96,1423287.720815,0,SUNUSDT
1613520000000,15.755999999999998,16.366,14.043,15.73,321879.064,1613606399999,5008116.018619999,13192,165763.726,2611564.635633,0,SUNUSDT
1613606400000,15.768,16.98,15.553,16.343,653123.331,1613692799999,10706100.518118,20381,360177.039,5945114.113685,0,SUNUSDT
1613692800000,16.378,18.2,15.664,17.225,823718.807,1613779199999,14054739.863944,31370,430579.834,7438971.177583001,0,SUNUSDT
1613779200000,17.252,18.0,15.54,16.139,986151.715,1613865599999,16661845.534394,32487,639316.035,10851140.694091,0,SUNUSDT
1613865600000,16.079,19.526,15.73,18.179,1053983.737,1613951999999,18772657.343635,30770,718219.3420000001,12829465.330422,0,SUNUSDT
1613952000000,18.179,19.2,16.0,17.296,1145619.057,1614038399999,20110556.8872,35060,774280.065,13584290.379078,0,SUNUSDT
1614038400000,17.28,17.773,11.246,13.461,2443222.165,1614124799999,37341530.252478,52953,1857264.38,28563081.24384,0,SUNUSDT
1614124800000,13.462,15.162,12.884,13.617,2736741.592,1614211199999,39252706.830462,39725,1946585.615,27990376.425532,0,SUNUSDT
1614211200000,13.632,16.058,12.99,13.251,3177552.711,1614297599999,47252866.966406,45728,2551765.647,38017979.900898,0,SUNUSDT
1614297600000,13.252,14.52,12.608,13.464,3703597.456,1614383999999,50269811.317793,37911,3175306.225,43101893.514006,0,SUNUSDT
1614384000000,13.465,14.4,13.275,13.666,1733032.084,1614470399999,23861065.106468,26604,1422907.499,19617618.704397,0,SUNUSDT
1614470400000,13.581,14.25,12.175,12.734000000000002,2426930.47,1614556799999,32154844.64679,30519,1510050.736,20231416.682241,0,SUNUSDT
1614556800000,12.749,14.4,12.292,13.915,2679986.974,1614643199999,36244952.768722,35616,1269407.407,17385709.524343,0,SUNUSDT
1614643200000,13.961,14.98,13.583,13.632,3138994.847,1614729599999,44949916.281244,46799,1480221.8269999998,21425196.859163,0,SUNUSDT
1614729600000,13.632,14.85,13.594,14.102,2940745.0710000005,1614815999999,42048054.29684501,45824,1657246.388,23829875.460456,0,SUNUSDT
1614816000000,14.081,14.5,13.126,13.491,4353748.161,1614902399999,61290741.125111,50439,2856511.395,40420923.073838,0,SUNUSDT
1614902400000,13.478,16.528,12.7,15.428,3531580.944,1614988799999,49127175.7489,58595,1981823.694,27744035.211922,0,SUNUSDT
1614988800000,15.448,16.532,15.118,15.758,2638578.991,1615075199999,42075317.681623,42556,1337301.887,21524745.384008,0,SUNUSDT
1615075200000,15.723,17.000999999999998,15.561,16.238,3660193.629,1615161599999,59185016.66561899,46963,2026318.089,32977517.330973,0,SUNUSDT
1615161600000,16.212,18.5,15.787,16.352999999999998,5618428.669,1615247999999,96586687.045111,78589,3194855.294,55212118.267873,0,SUNUSDT
1615248000000,16.352999999999998,17.92,16.17,17.49,4450179.329,1615334399999,76755122.530513,53581,2485973.544,43108243.132954,0,SUNUSDT
1615334400000,17.47,18.407,16.891,16.97,3173019.222,1615420799999,57006463.891849,50196,1775880.459,32036546.991909,0,SUNUSDT
1615420800000,16.944000000000003,18.042,16.83,17.000999999999998,3325841.4910000004,1615507199999,57851204.245004006,48733,2113615.431,36830427.071279,0,SUNUSDT
1615507200000,17.009,18.398,16.176,16.892,3431737.191,1615593599999,60278233.44732901,51740,2260542.628,39734401.869187,0,SUNUSDT
1615593600000,16.892,18.6,16.515,17.949,2669874.095,1615679999999,46611838.98069,47575,1192053.567,20889015.259917,0,SUNUSDT
1615680000000,17.949,18.855,16.944000000000003,18.091,2302198.59,1615766399999,41206008.231176,41514,1411207.324,25272277.165492,0,SUNUSDT
1615766400000,18.091,20.0,17.503,18.476,5724999.944,1615852799999,106521131.365294,69401,3363727.598,62907023.01109,0,SUNUSDT
1615852800000,18.512,20.892,17.949,19.065,4685653.579,1615939199999,91179838.466755,67855,2658576.452,51607161.741763,0,SUNUSDT
1615939200000,19.069000000000003,22.51,19.051,22.253,6681595.744,1616025599999,134984209.387896,81211,4254963.347,86159167.365822,0,SUNUSDT
1616025600000,22.253,24.036,21.292,22.616,7247435.811000001,1616111999999,165104687.943601,89670,5123550.359,116807818.556351,0,SUNUSDT
1616112000000,22.625,25.444000000000003,22.139,23.182,6278296.0370000005,1616198399999,150184804.886835,91703,4395479.929,105115136.566029,0,SUNUSDT
1616198400000,23.188,27.371,23.188,25.198,3774796.285,1616284799999,97124251.721511,80314,2787214.262,71713628.373598,0,SUNUSDT
1616284800000,25.159,32.776,25.052,30.267,6139662.32,1616371199999,164324402.821457,109622,4160597.944,111030115.84011,0,SUNUSDT
1616371200000,30.255,35.0,29.22,30.005,4623526.254,1616457599999,151680594.95855302,116032,2757388.458,90309444.563465,0,SUNUSDT
1616457600000,30.004,32.331,27.166,28.409,5561390.366,1616543999999,170865780.419845,93371,3707268.413,113737301.342696,0,SUNUSDT
1616544000000,28.404,29.917,23.903,24.356,3018874.312,1616630399999,86372387.216089,60389,1987200.931,57054140.128496,0,SUNUSDT
1616630400000,24.285,24.696,22.347,23.587,300768.822,1616716799999,7083126.095110001,26816,178025.828,4197549.561085,0,SUNUSDT
1616716800000,23.647,28.177,23.557,28.177,184590.234,1616803199999,4783788.163218,20721,96281.874,2498430.661691,0,SUNUSDT
1616803200000,28.175,29.619,27.035,27.588,226319.867,1616889599999,6423689.898248999,25098,108943.907,3097894.889518,0,SUNUSDT
1616889600000,27.588,28.767,26.182,26.703000000000003,171901.169,1616975999999,4687877.570853,15710,103022.601,2807250.957495,0,SUNUSDT
1616976000000,26.756,29.73,25.789,29.176,685646.319,1617062399999,19044736.174628,37480,314838.331,8593609.245882,0,SUNUSDT
1617062400000,29.176,31.0,26.446,29.869,968433.362,1617148799999,27823160.507347,53049,451484.41,12667231.250398,0,SUNUSDT
1617148800000,29.86,39.5,27.654,36.78,1685547.43,1617235199999,54237085.817331,107065,851556.757,26962250.541457,0,SUNUSDT
1617235200000,36.752,43.65,32.555,37.9,1672332.1830000002,1617321599999,63027849.554738,119850,770751.502,28412036.351399,0,SUNUSDT
1617321600000,37.887,42.773,35.499,39.184,1629290.406,1617407999999,62518969.35690401,82743,892121.405,33507881.068466,0,SUNUSDT
1617408000000,39.085,43.699,37.278,39.198,971784.894,1617494399999,39312895.887968,88008,488454.292,19596856.74935,0,SUNUSDT
1617494400000,39.072,51.0,37.594,50.191,490764.505,1617580799999,21375258.80519,71273,247216.748,10801444.513281,0,SUNUSDT
1617580800000,50.00899999999999,54.56,45.034,46.48,1916399.585,1617667199999,92978623.766969,131913,1036164.233,49629831.549923,0,SUNUSDT
1617667200000,46.434,50.918,40.787,42.858,1733176.694,1617753599999,78608381.33690201,121203,852988.1109999999,38268900.863456,0,SUNUSDT
1617753600000,42.929,44.672,39.644,40.59,1535367.647,1617839999999,63625575.179868005,82194,705981.7220000001,29001556.379319,0,SUNUSDT
1617840000000,40.563,41.947,37.261,38.379,1686902.877,1617926399999,64996253.406661,82366,972178.456,37343336.807127,0,SUNUSDT
