open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,name
1609459200000,0.01371,0.01538,0.01277,0.01321,174684006.4,1609545599999,2454610.38603,25247,82537443.1,1164165.822184,0,MITHUSDT
1609545600000,0.01319,0.01321,0.01042,0.01126,301037613.7,1609631999999,3498743.308509,30562,132291370.9,1541303.074664,0,MITHUSDT
1609632000000,0.01126,0.01129,0.0095,0.00982,205408692.2,1609718399999,2116005.96926,18522,92224264.9,952379.000821,0,MITHUSDT
1609718400000,0.00985,0.0107599999999999,0.00836,0.00939,363127616.6,1609804799999,3472693.970247,25207,164794940.6,1584756.64746,0,MITHUSDT
1609804800000,0.00939,0.00966,0.00856,0.00948,168605112.5,1609891199999,1555253.883011,14867,82472760.1,764178.5941,0,MITHUSDT
1609891200000,0.00946,0.01185,0.00921,0.01038,328919957.3,1609977599999,3472661.7802699995,31284,176087774.3,1867548.055121,0,MITHUSDT
1609977600000,0.01037,0.0104,0.00925,0.0095599999999999,166318073.6,1610063999999,1660350.429824,14850,70340229.5,703975.1595770001,0,MITHUSDT
1610064000000,0.00957,0.0109,0.00896,0.01011,181490402.6,1610150399999,1835877.726196,16120,86587608.3,879934.850274,0,MITHUSDT
1610150400000,0.01012,0.01114,0.0096,0.01067,147962114.6,1610236799999,1551972.728892,15758,79541032.0,836645.7580149999,0,MITHUSDT
1610236800000,0.01072,0.01108,0.0095,0.00989,98472033.6,1610323199999,1021220.506976,12480,39558063.4,412123.521601,0,MITHUSDT
1610323200000,0.0099099999999999,0.0099099999999999,0.00763,0.00852,110280549.4,1610409599999,944684.835364,10700,49612394.9,423248.050148,0,MITHUSDT
1610409600000,0.00853,0.00919,0.00805,0.0083,51018336.7,1610495999999,436774.519566,5729,22551282.5,194042.091192,0,MITHUSDT
1610496000000,0.0083,0.00877,0.0078099999999999,0.00872,74380415.7,1610582399999,618104.2820369999,7317,36617111.5,305441.706089,0,MITHUSDT
1610582400000,0.00872,0.00917,0.0084,0.00862,80823068.1,1610668799999,704937.345629,8210,36785376.1,321630.05709,0,MITHUSDT
1610668800000,0.00862,0.009,0.00792,0.0085799999999999,144232738.6,1610755199999,1224127.46947,12238,62826508.4,535718.140254,0,MITHUSDT
1610755200000,0.00862,0.00985,0.00851,0.00932,191974597.3,1610841599999,1787012.943184,16043,98311502.5,915375.182251,0,MITHUSDT
1610841600000,0.0093,0.00998,0.00861,0.00948,82381743.2,1610927999999,765989.5346840001,9562,39616844.9,371098.520741,0,MITHUSDT
1610928000000,0.0095,0.0098,0.00919,0.0096099999999999,84023700.9,1611014399999,798355.931477,8843,38388724.6,365954.01029,0,MITHUSDT
1611014400000,0.0096099999999999,0.011,0.0095,0.00952,166532166.3,1611100799999,1704693.010812,16768,84026781.2,862714.101791,0,MITHUSDT
1611100800000,0.00955,0.00955,0.00866,0.00942,70651228.2,1611187199999,649708.008272,7894,32655963.4,300605.812659,0,MITHUSDT
