date,open,high,low,close,volume,name
2021-01-01,0.00443,0.0051,0.00436,0.00479,86134779.6,CELRUSDT
2021-01-02,0.00478,0.00518,0.0045,0.0048,127490718.0,CELRUSDT
2021-01-03,0.0048,0.00583,0.00469,0.005379999999999999,215382737.8,CELRUSDT
2021-01-04,0.00542,0.0059,0.00491,0.00566,192371908.6,CELRUSDT
2021-01-05,0.0057,0.00639,0.005520000000000001,0.00592,305481205.6,CELRUSDT
2021-01-06,0.00593,0.0073,0.00572,0.00704,256906303.9,CELRUSDT
2021-01-07,0.00704,0.0075400000000000016,0.00646,0.00675,213721585.0,CELRUSDT
2021-01-08,0.00675,0.006959999999999999,0.00621,0.0065,133929402.1,CELRUSDT
2021-01-09,0.006520000000000001,0.0085,0.00644,0.00731,330554756.5,CELRUSDT
2021-01-10,0.00734,0.0076,0.00625,0.00722,206076449.4,CELRUSDT
2021-01-11,0.0072099999999999985,0.00735,0.00525,0.00613,209101586.3,CELRUSDT
2021-01-12,0.00613,0.00632,0.005520000000000001,0.00585,105819508.2,CELRUSDT
2021-01-13,0.0058,0.00644,0.00549,0.0064,109271351.6,CELRUSDT
2021-01-14,0.0064,0.00701,0.0061600000000000005,0.00629,163502106.6,CELRUSDT
2021-01-15,0.00627,0.00689,0.00573,0.00627,451239815.1,CELRUSDT
2021-01-16,0.00627,0.0073,0.00609,0.006659999999999999,877601600.9,CELRUSDT
2021-01-17,0.00662,0.00742,0.00605,0.0073,458150553.6,CELRUSDT
2021-01-18,0.0073,0.00783,0.006840000000000001,0.00744,444238736.8,CELRUSDT
2021-01-19,0.00744,0.00835,0.00715,0.008020000000000001,561777421.8,CELRUSDT
2021-01-20,0.008020000000000001,0.00834,0.006679999999999999,0.0078,440150403.9,CELRUSDT
2021-01-21,0.00783,0.008020000000000001,0.00657,0.0067,270794880.4,CELRUSDT
2021-01-22,0.0067,0.0074,0.00595,0.007109999999999998,240488617.1,CELRUSDT
2021-01-23,0.00713,0.00784,0.00689,0.0076700000000000015,219478868.4,CELRUSDT
2021-01-24,0.0076799999999999985,0.007940000000000001,0.007090000000000002,0.00747,193095368.7,CELRUSDT
2021-01-25,0.00745,0.00771,0.006999999999999999,0.00707,178331177.3,CELRUSDT
2021-01-26,0.00706,0.0072099999999999985,0.00648,0.00707,208345939.3,CELRUSDT
2021-01-27,0.00706,0.0073,0.00615,0.00687,416826959.3,CELRUSDT
2021-01-28,0.00685,0.0092,0.0068200000000000005,0.008,710849385.2,CELRUSDT
2021-01-29,0.008,0.00951,0.00799,0.00866,739073750.2,CELRUSDT
2021-01-30,0.00869,0.0093,0.008409999999999999,0.00892,301241430.6,CELRUSDT
2021-01-31,0.00892,0.00892,0.00801,0.00865,160884283.2,CELRUSDT
2021-02-01,0.00861,0.00864,0.0079,0.00812,282999807.3,CELRUSDT
2021-02-02,0.00811,0.0091,0.0081,0.008870000000000001,252614707.7,CELRUSDT
2021-02-03,0.008870000000000001,0.01042,0.008759999999999999,0.01025,432247276.5,CELRUSDT
2021-02-04,0.01026,0.01164,0.00991,0.01052,683543249.3,CELRUSDT
2021-02-05,0.0105,0.01175,0.01045,0.01158,332166201.4,CELRUSDT
2021-02-06,0.01158,0.0116,0.01007,0.01047,267771102.6,CELRUSDT
2021-02-07,0.01046,0.01073,0.00971,0.01048,214164215.3,CELRUSDT
2021-02-08,0.01047,0.01312,0.0104,0.01252,619905514.6,CELRUSDT
2021-02-09,0.01256,0.01897,0.01252,0.01739,971222084.3,CELRUSDT
2021-02-10,0.01744,0.01809,0.01411,0.01547,623753235.3,CELRUSDT
2021-02-11,0.01546,0.016980000000000002,0.01495,0.016380000000000002,355922921.2,CELRUSDT
2021-02-12,0.016380000000000002,0.0191,0.015119999999999996,0.01798,443070271.4,CELRUSDT
2021-02-13,0.01796,0.0224,0.01675,0.02078,677863587.1,CELRUSDT
2021-02-14,0.02072,0.025,0.01968,0.02193,615066398.6,CELRUSDT
2021-02-15,0.02195,0.02238,0.017240000000000002,0.019180000000000003,488380752.0,CELRUSDT
2021-02-16,0.019180000000000003,0.02085,0.01827,0.0188,219065323.9,CELRUSDT
2021-02-17,0.0188,0.0203,0.01669,0.01929,259858367.8,CELRUSDT
2021-02-18,0.01931,0.0216,0.0185,0.02143,302796706.0,CELRUSDT
2021-02-19,0.02143,0.0219,0.0195,0.02108,338112324.3,CELRUSDT
2021-02-20,0.02107,0.0265,0.02009,0.02213,602460458.2,CELRUSDT
2021-02-21,0.02201,0.02345,0.02162,0.02223,289770182.1,CELRUSDT
2021-02-22,0.02223,0.02354,0.016730000000000002,0.01997,501126412.3,CELRUSDT
